DIALOGUE ID,START TIME,END TIME
"472","02:00:19","02:00:23"
"473","02:00:19","02:00:23"
"474","02:00:19","02:00:23"
"475","02:00:19","02:00:23"
"476","02:00:19","02:00:23"
"477","02:00:19","02:00:23"
"478","02:00:19","02:00:23"
"479","02:00:19","02:00:23"
"480","02:00:19","02:00:23"
"481","02:00:19","02:00:23"
"482","02:00:19","02:00:23"
"483","02:00:19","02:00:23"
"484","02:00:19","02:00:23"
"485","02:00:19","02:00:23"
"486","02:00:19","02:00:23"
"487","02:00:19","02:00:23"
"488","02:00:19","02:00:23"
"489","02:00:19","02:00:23"
"490","02:00:19","02:00:23"
"491","02:00:19","02:00:23"
"492","02:00:19","02:00:23"
"493","02:00:19","02:00:23"
"494","02:00:19","02:00:23"
"495","02:00:19","02:00:23"
"496","02:00:19","02:00:23"
"497","02:00:19","02:00:23"
"498","02:00:19","02:00:23"
"499","02:00:19","02:00:23"
"500","02:00:19","02:00:23"
"501","02:00:19","02:00:23"
"502","02:00:19","02:00:23"
"503","02:00:19","02:00:23"
"504","02:00:19","02:00:23"
"505","02:00:19","02:00:23"
"506","02:00:19","02:00:23"
"507","02:00:19","02:00:23"
"508","02:00:19","02:00:23"
"509","02:00:19","02:00:23"
"510","02:00:19","02:00:23"
"511","02:00:19","02:00:23"
"512","02:00:19","02:00:23"
"513","02:00:19","02:00:23"
"514","02:00:19","02:00:23"
"515","02:00:19","02:00:23"
"516","02:00:19","02:00:23"
"517","02:00:19","02:00:23"
"518","02:00:19","02:00:23"
"519","02:00:19","02:00:23"
"520","02:00:19","02:00:23"
"521","02:00:19","02:00:23"
"522","02:00:19","02:00:23"
"523","02:00:19","02:00:23"
"524","02:00:19","02:00:23"
"525","02:00:19","02:00:23"
"526","02:00:19","02:00:23"
"527","02:00:19","02:00:23"
"528","02:00:19","02:00:23"
"529","02:00:19","02:00:23"
"530","02:00:19","02:00:23"
"531","02:00:19","02:00:23"
"532","02:00:19","02:00:23"
"533","02:00:19","02:00:23"
"534","02:00:19","02:00:23"
"535","02:00:19","02:00:23"
"536","02:00:19","02:00:23"
"537","02:00:19","02:00:23"
"538","02:00:19","02:00:23"
"539","02:00:19","02:00:23"
"540","02:00:19","02:00:23"
"541","02:00:19","02:00:23"
"542","02:00:19","02:00:23"
"543","02:00:19","02:00:23"
"544","02:00:19","02:00:23"
"545","02:00:19","02:00:23"
"546","02:00:19","02:00:23"
"547","02:00:19","02:00:23"
"548","02:00:19","02:00:23"
"549","02:00:19","02:00:23"
"550","02:00:19","02:00:23"
"551","02:00:19","02:00:23"
"552","02:00:19","02:00:23"
"553","02:00:19","02:00:23"
"554","02:00:19","02:00:23"
"555","02:00:19","02:00:23"
"556","02:00:19","02:00:23"
"557","02:00:19","02:00:23"
"558","02:00:19","02:00:23"
"559","02:00:19","02:00:23"
"560","02:00:19","02:00:23"
"561","02:00:19","02:00:23"
"562","02:00:19","02:00:23"
"563","02:00:19","02:00:23"
"564","02:00:19","02:00:23"
"565","02:00:19","02:00:23"
"566","02:00:19","02:00:23"
"567","02:00:19","02:00:23"
"568","02:00:19","02:00:23"
"569","02:00:19","02:00:23"
"570","02:00:19","02:00:23"
"571","02:00:19","02:00:23"
"572","02:00:19","02:00:23"
"573","02:00:19","02:00:23"
"574","02:00:19","02:00:23"
"575","02:00:19","02:00:23"
"576","02:00:19","02:00:23"
"577","02:00:19","02:00:23"
"578","02:00:19","02:00:23"
"579","02:00:19","02:00:23"
"580","02:00:19","02:00:23"
"581","02:00:19","02:00:23"
"582","02:00:19","02:00:23"
"583","02:00:19","02:00:23"
"584","02:00:19","02:00:23"
"585","02:00:19","02:00:23"
"586","02:00:19","02:00:23"
"587","02:00:19","02:00:23"
"588","02:00:19","02:00:23"
"589","02:00:19","02:00:23"
"590","02:00:19","02:00:23"
"591","02:00:19","02:00:23"
"592","02:00:19","02:00:23"
"593","02:00:19","02:00:23"
"594","02:00:19","02:00:23"
"595","02:00:19","02:00:23"
"596","02:00:19","02:00:23"
"597","02:00:19","02:00:23"
"598","02:00:19","02:00:23"
"599","02:00:19","02:00:23"
"600","02:00:19","02:00:23"
"601","02:00:19","02:00:23"
"602","02:00:19","02:00:23"
"603","02:00:19","02:00:23"
"604","02:00:19","02:00:23"
"605","02:00:19","02:00:23"
"606","02:00:19","02:00:23"
"607","02:00:19","02:00:23"
"608","02:00:19","02:00:23"
"609","02:00:19","02:00:23"
"610","02:00:19","02:00:23"
"611","02:00:19","02:00:23"
"612","02:00:19","02:00:23"
"613","02:00:19","02:00:23"
"614","02:00:19","02:00:23"
"615","02:00:19","02:00:23"
"616","02:00:19","02:00:23"
"617","02:00:19","02:00:23"
"618","02:00:19","02:00:23"
"619","02:00:19","02:00:23"
"620","02:00:19","02:00:23"
"621","02:00:19","02:00:23"
"622","02:00:19","02:00:23"
"623","02:00:19","02:00:23"
"624","02:00:19","02:00:23"
"625","02:00:19","02:00:23"
"626","02:00:19","02:00:23"
"627","02:00:19","02:00:23"
"628","02:00:19","02:00:23"
"629","02:00:19","02:00:23"
"630","02:00:19","02:00:23"
"631","02:00:19","02:00:23"
"632","02:00:19","02:00:23"
"633","02:00:19","02:00:23"
"634","02:00:19","02:00:23"
"635","02:00:19","02:00:23"
"636","02:00:19","02:00:23"
"637","02:00:19","02:00:23"
"638","02:00:19","02:00:23"
"639","02:00:19","02:00:23"
"640","02:00:19","02:00:23"
"641","02:00:19","02:00:23"
"642","02:00:19","02:00:23"
"643","02:00:19","02:00:23"
"644","02:00:19","02:00:23"
"645","02:00:19","02:00:23"
"646","02:00:19","02:00:23"
"647","02:00:19","02:00:23"
"648","02:00:19","02:00:23"
"649","02:00:19","02:00:23"
"650","02:00:19","02:00:23"
"651","02:00:19","02:00:23"
